,id,lon,lat,first_name,last_name,email,description,date,image_url,senses,report_type
0,1040,-80.1348030567169,39.9816746679072,Archived,Photo,info@fractracker.org,Lots of truck traffic off 221 in Greene Co. PA,2014-07-16T20:47:00,,[],Other
0,1041,-80.1348030567169,39.9816746679072,Archived,Photo,info@fractracker.org,Lots of truck traffic off 221 in Greene Co. PA,2014-07-16T20:47:00,https://api.fractracker.org/static/usercontent/FS_8f94914672d14d8a9405a616e002a1f3_original.jpg,[],Other
0,1042,-80.1348030567169,39.9816746679072,Archived,Photo,info@fractracker.org,Lots of truck traffic off 221 in Greene Co. PA,2014-07-16T20:47:00,https://api.fractracker.org/static/usercontent/FS_c6b68dadc6cd4d97b6da795eae3dfa23_original.jpg,[],Other
0,1044,-75.943031,41.698502,Archived,Photo,info@fractracker.org,,2014-07-17T16:08:00,https://api.fractracker.org/static/usercontent/FS_444c1283e4eb490eaddd68687d4f1320_original.jpg,[],Other
0,1045,-75.943031,41.698502,Archived,Photo,info@fractracker.org,,2014-07-17T16:08:00,https://api.fractracker.org/static/usercontent/FS_549f11bd90cf40ea8b95c8962988d397_original.jpg,[],Other
0,1046,-75.943031,41.698502,Archived,Photo,info@fractracker.org,,2014-07-17T16:08:00,https://api.fractracker.org/static/usercontent/FS_16813da349914e1dbd60c12c32b79b11_original.jpg,[],Other
0,1047,-75.943031,41.698502,Archived,Photo,info@fractracker.org,,2014-07-17T16:08:00,https://api.fractracker.org/static/usercontent/FS_1f6892a9998446239c2acacc29842b01_original.jpg,[],Other
0,1048,-75.943031,41.698502,Archived,Photo,info@fractracker.org,,2014-07-17T16:08:00,https://api.fractracker.org/static/usercontent/FS_d946fbabf0ea44969a52e0d71ab6085d_original.jpg,[],Other
0,1055,-75.727325,41.872318,Archived,Photo,info@fractracker.org,Truck counts,2014-07-18T10:14:00,https://api.fractracker.org/static/usercontent/FS_763bb586d0ad4eb787220c38b0631e0b_original.jpg,[],Other
0,1056,-75.727325,41.872318,Archived,Photo,info@fractracker.org,Truck counts,2014-07-18T10:14:00,https://api.fractracker.org/static/usercontent/FS_343847104e934e8fb2249c7e5ae9be74_original.jpg,[],Other
0,1073,-77.395828,41.402142,Archived,Photo,info@fractracker.org,Tiadaughton,2014-08-12T12:26:00,https://api.fractracker.org/static/usercontent/FS_08835b705dfd4867826002acc6908010_original.jpg,[],Other
0,1076,-77.395828,41.402142,Archived,Photo,info@fractracker.org,Tiadaughton,2014-08-12T12:26:00,https://api.fractracker.org/static/usercontent/FS_ce8bd5be44d8463eb223a3c29fc4827a_original.jpg,[],Other
